Csv name,Generator,Algorithm,Time,Averge Memory,Max memory,Min memory,Numbers sorted,Min Val,Max Val,Issorted
C0,sortedlist,countingsort,1.191637278,31.19873047,31.19140625,31.2109375,10,0,100,TRUE

C0,sortedlist,mergesort,1.255766153,31.21115057,31.140625,31.25390625,10,0,100,TRUE

C0,sortedlist,heapsort,1.207988501,31.17871094,31.171875,31.19140625,10,0,100,TRUE

C0,sortedlist,radixsort,1.194118738,31.2265625,31.21875,31.23828125,10,0,100,TRUE

C0,sortedlist,quicksort,1.197651386,31.34153054,31.28125,31.390625,10,0,100,TRUE

C0,sortedlist,quicksortleft,1.224338293,31.46127717,31.34765625,31.578125,10,0,100,TRUE

C0,sortedlist,quicksortmid,1.493486404,31.2170928,31.1640625,31.25390625,10,0,100,TRUE

C0,sortedlist,quicksortright,1.240647554,31.24198718,31.1875,31.27734375,10,0,100,TRUE

C1,sortedlist,bucketsort2,1.273100615,31.1783491,31.14453125,31.1953125,100,0,1000,TRUE

C1,sortedlist,bubblesort,1.342569828,31.24644886,31.234375,31.25390625,100,0,1000,TRUE

C1,sortedlist,selectionsort,1.597141504,31.13786765,31.125,31.14453125,100,0,1000,TRUE

C1,sortedlist,insertionsort,1.168222666,31.18303571,31.17578125,31.1953125,100,0,1000,TRUE

C1,sortedlist,countingsort,1.202850342,31.19661458,31.1875,31.20703125,100,0,1000,TRUE

C1,sortedlist,mergesort,0.671749115,31.2671875,31.21484375,31.37890625,100,0,1000,TRUE

C1,sortedlist,heapsort,1.18725729,31.19303385,31.1796875,31.203125,100,0,1000,TRUE

C1,sortedlist,radixsort,1.171635628,31.178125,31.16796875,31.1875,100,0,1000,TRUE

C1,sortedlist,quicksort,0.968557835,31.496875,31.4375,31.61328125,100,0,1000,TRUE

C1,sortedlist,quicksortleft,0.687314987,32.82109375,32.49609375,34.13671875,100,0,1000,TRUE

C1,sortedlist,quicksortmid,1.265364408,31.41604167,31.2890625,31.44921875,100,0,1000,TRUE

C1,sortedlist,quicksortright,1.265328646,31.45606462,31.328125,31.48828125,100,0,1000,TRUE

C2,sortedlist,bucketsort2,0.874763012,31.51953125,31.49609375,31.5390625,1000,0,10000,TRUE

C2,sortedlist,bubblesort,0.65610075,31.50859375,31.50390625,31.5234375,1000,0,10000,TRUE

C2,sortedlist,selectionsort,1.280953169,31.24986024,31.234375,31.25,1000,0,10000,TRUE

C2,sortedlist,insertionsort,1.202875137,31.34975962,31.33984375,31.359375,1000,0,10000,TRUE

C2,sortedlist,countingsort,1.187223196,31.26171875,31.25,31.265625,1000,0,10000,TRUE

C2,sortedlist,mergesort,0.593611479,31.6265625,31.671875,31.90234375,1000,0,10000,TRUE

C2,sortedlist,heapsort,1.218465567,31.28683036,31.265625,31.2890625,1000,0,10000,TRUE

C2,sortedlist,radixsort,1.296574354,31.20128676,31.18359375,31.203125,1000,0,10000,TRUE

C2,sortedlist,quicksort,0.984144449,31.85052083,31.609375,32.0546875,1000,0,10000,TRUE

C2,sortedlist,quicksortleft,0.636163712,41.20963542,37.828125,56.7734375,1000,0,10000,TRUE

C2,sortedlist,quicksortmid,0.921692133,31.69401042,31.54296875,31.76953125,1000,0,10000,TRUE

C2,sortedlist,quicksortright,0.89041853,31.79947917,31.6640625,31.87890625,1000,0,10000,TRUE

C3,sortedlist,bucketsort2,1.780835152,32.54882813,32.578125,32.6171875,10000,0,100000,TRUE

C3,sortedlist,bubblesort,3.155476809,32.15342134,32.15625,32.16015625,10000,0,100000,TRUE

C3,sortedlist,selectionsort,3.342934608,32.31380208,32.31640625,32.3203125,10000,0,100000,TRUE

C3,sortedlist,insertionsort,1.187189817,32.22392314,32.20703125,32.2265625,10000,0,100000,TRUE

C3,sortedlist,countingsort,1.207190514,32.92136549,32.20703125,33,10000,0,100000,TRUE

C3,sortedlist,mergesort,3.108613729,32.66364397,32.4453125,32.7734375,10000,0,100000,TRUE

C3,sortedlist,heapsort,0.734170675,32.13802083,32.125,32.15234375,10000,0,100000,TRUE

C3,sortedlist,radixsort,0.99973917,32.85546875,32.84765625,32.8671875,10000,0,100000,TRUE

C3,sortedlist,quicksort,2.202644348,32.61816406,32.3828125,32.87890625,10000,0,100000,TRUE

C3,sortedlist,quicksortleft,5.867274046,178.2860407,48.1875,380.78125,10000,0,100000,TRUE

C3,sortedlist,quicksortmid,1.965705633,32.52517361,32.31640625,32.625,10000,0,100000,TRUE

C3,sortedlist,quicksortright,1.968255281,32.48524306,32.27734375,32.58984375,10000,0,100000,TRUE

C4,sortedlist,bucketsort2,13.81376553,44.29913814,36.1484375,44.515625,100000,0,1000000,TRUE

C4,sortedlist,insertionsort,1.249709368,35.71848806,35.69921875,35.71875,100000,0,1000000,TRUE

C4,sortedlist,countingsort,0.858995199,40.45410156,35.671875,43.32421875,100000,0,1000000,TRUE

C4,sortedlist,mergesort,28.84991336,37.78910672,35.98046875,37.87109375,100000,0,1000000,TRUE

C4,sortedlist,heapsort,1.096940279,35.71961806,35.73046875,35.74609375,100000,0,1000000,TRUE

C4,sortedlist,radixsort,0.662921667,37.39375,37.12109375,37.98828125,100000,0,1000000,TRUE

C4,sortedlist,quicksort,19.55588484,36.5322102,36.1171875,36.87890625,100000,0,1000000,TRUE

C4,sortedlist,quicksortmid,18.62139988,36.21272978,35.8828125,36.265625,100000,0,1000000,TRUE

C4,sortedlist,quicksortright,18.74809504,37.9353879,37.59765625,37.98046875,100000,0,1000000,TRUE

C5,sortedlist,bucketsort2,136.5366323,152.6904273,71.5703125,153.0507813,1000000,0,10000000,TRUE

C5,sortedlist,insertionsort,0.969235659,70.51920573,70.5078125,70.5234375,1000000,0,10000000,TRUE

C5,sortedlist,countingsort,1.114526033,121.7834201,70.9453125,147.2460938,1000000,0,10000000,TRUE

C5,sortedlist,heapsort,9.56483531,70.64457615,70.6328125,70.6484375,1000000,0,10000000,TRUE

C5,sortedlist,radixsort,3.741684437,78.76918658,71.65234375,83.4453125,1000000,0,10000000,TRUE

C5,sortedlist,quicksort,190.9125483,71.69613981,71.046875,72.1953125,1000000,0,10000000,TRUE

C5,sortedlist,quicksortmid,151.4872396,71.10007548,70.6875,71.1796875,1000000,0,10000000,TRUE

C5,sortedlist,quicksortright,159.2629628,71.15175327,70.7421875,71.21875,1000000,0,10000000,TRUE

C6,sortedlist,insertionsort,2.238841295,761.5070313,761.1953125,761.5273438,10000000,0,100000000,TRUE

C6,sortedlist,countingsort,8.038040876,1142.156304,418.6328125,1181.574219,10000000,0,100000000,TRUE

C6,sortedlist,heapsort,109.0156076,418.2954004,418.2617188,418.328125,10000000,0,100000000,TRUE

C6,sortedlist,radixsort,48.25070333,477.9409191,419.3046875,523.7421875,10000000,0,100000000,TRUE

D0,reversesorted,bucketsort2,1.318448544,31.19375,31.16796875,31.2109375,10,0,100,TRUE

